Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7",0603,3,10 uf,
"C10, C9",0603,2,100nf,
"C11, C12",0603,2,12 pf,
"C13, C15, C16, C17",0603,4,100 pf,
"C2, C4, C5, C8",0603,4,0.1uf,
C6,0603,1,2.2 uf,
"D1, D2",0201,2,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J6",JWT_A3963_1x02_P3.96mm_Vertical,2,Conn_01x02_Pin,
"J3, J4, J5",FanPinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
J7,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
"R1, R2",0603,2,33 R,
R3,0603,1,50 K,
R4,0603,1,50K,
"R5, R6",0603,2,1k,
R7,0603,1,1 K,
SW1,SW_PUSH_E-Switch_FS5700DP_DPDT,1,SW_DPDT_x2,
SW2,SW_PUSH_6mm,1,SW_Push,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TO-252-2,1,L7805,
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U4,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U5,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,
Y1,Crystal_SMD_0603-4Pin_6.0x3.5mm,1,Crystal_GND24_Small,
