Designator,Mid X,Mid Y,Rotation,Layer
C1,168.87,-116.03,0.0,top
C10,200.7075,-116.615,270.0,top
C11,202.01,-105.3825,90.0,top
C12,198.67,-101.14,0.0,top
C13,193.8675,-116.63,0.0,top
C15,193.905,-114.91,0.0,top
C16,203.4875,-112.45,0.0,top
C17,203.5,-114.05,0.0,top
C2,168.62,-123.58,180.0,top
C3,167.12,-100.43,0.0,top
C4,167.04,-95.68,0.0,top
C5,189.74,-121.47,0.0,top
C6,189.85,-113.23,0.0,top
C7,186.68,-122.0325,270.0,top
C8,193.8525,-118.26,0.0,top
C9,199.1575,-116.605,270.0,top
D1,170.55,-121.37,90.0,top
D2,168.0,-98.07,90.0,top
J1,142.4,-107.69,270.0,top
J2,141.71,-97.4275,90.0,top
J3,191.54,-95.825,0.0,top
J4,182.31,-95.82,0.0,top
J5,201.14,-95.78,0.0,top
J6,143.34,-118.0425,270.0,top
J7,173.62,-95.18,90.0,top
R1,151.68,-106.99,0.0,top
R2,151.74,-108.46,0.0,top
R3,151.72,-105.35,0.0,top
R4,151.73,-110.05,0.0,top
R5,170.61,-119.005,270.0,top
R6,166.13,-98.06,270.0,top
R7,173.39,-116.855,90.0,top
SW1,162.77,-108.19,0.0,top
SW2,179.05,-116.51,180.0,top
U1,162.45,-118.82,0.0,top
U2,156.585,-98.0,180.0,top
U3,188.57,-116.71,0.0,top
U4,199.9925,-113.1425,90.0,top
U5,190.43,-105.41,270.0,top
Y1,198.79,-105.68,90.0,top
